Name,Sweep (T1),,,
Date,12/06/2023,,,
Time,13:07:49,,,
Instrument,FPC1500 - 102527/003,,,
Firmware Version,V1.80,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
42803722.5042301,-86.9708938598633,,,
42804568.5279188,-87.2449951171875,,,
42805414.5516074,-87.7144012451172,,,
42806260.5752961,-87.8228912353516,,,
42807106.5989848,-87.6436920166016,,,
42807952.6226734,-86.2551879882813,,,
42808798.6463621,-85.9320068359375,,,
42809644.6700508,-84.6649017333984,,,
42810490.6937394,-85.0211181640625,,,
42811336.7174281,-86.8470306396484,,,
42812182.7411168,-86.6397247314453,,,
42813028.7648054,-87.0503158569336,,,
42813874.7884941,-86.2294540405273,,,
42814720.8121827,-85.4586944580078,,,
42815566.8358714,-86.1075439453125,,,
42816412.8595601,-87.7779083251953,,,
42817258.8832487,-87.7950286865234,,,
42818104.9069374,-86.7455215454102,,,
42818950.9306261,-85.7529678344727,,,
42819796.9543147,-84.5996551513672,,,
42820642.9780034,-85.5436553955078,,,
42821489.001692,-87.2962417602539,,,
42822335.0253807,-88.0587387084961,,,
42823181.0490694,-88.8073501586914,,,
42824027.072758,-88.3168869018555,,,
42824873.0964467,-87.8681793212891,,,
42825719.1201354,-86.1521530151367,,,
42826565.143824,-85.4709854125977,,,
42827411.1675127,-86.3906173706055,,,
42828257.1912014,-86.7792434692383,,,
42829103.21489,-85.4816131591797,,,
42829949.2385787,-85.6885223388672,,,
42830795.2622673,-85.0673675537109,,,
42831641.285956,-84.8166656494141,,,
42832487.3096447,-86.3696441650391,,,
42833333.3333333,-86.5412292480469,,,
42834179.357022,-85.6094589233398,,,
42835025.3807107,-85.7267532348633,,,
42835871.4043993,-86.6839828491211,,,
42836717.428088,-87.1374053955078,,,
42837563.4517766,-87.5028381347656,,,
42838409.4754653,-85.7293930053711,,,
42839255.499154,-86.2507705688477,,,
42840101.5228426,-86.4643707275391,,,
42840947.5465313,-86.523063659668,,,
42841793.57022,-86.8402404785156,,,
42842639.5939086,-86.9721374511719,,,
42843485.6175973,-86.3117218017578,,,
42844331.641286,-86.0759963989258,,,
42845177.6649746,-86.4059371948242,,,
42846023.6886633,-87.2102355957031,,,
42846869.7123519,-86.5081024169922,,,
42847715.7360406,-87.0236511230469,,,
42848561.7597293,-87.4792938232422,,,
42849407.7834179,-86.1772689819336,,,
42850253.8071066,-87.0892791748047,,,
42851099.8307953,-88.3388214111328,,,
42851945.8544839,-86.2860260009766,,,
42852791.8781726,-84.3378295898438,,,
42853637.9018613,-85.263916015625,,,
42854483.9255499,-86.5323181152344,,,
42855329.9492386,-86.5159072875977,,,
42856175.9729272,-86.6133575439453,,,
42857021.9966159,-86.9353485107422,,,
42857868.0203046,-86.3049087524414,,,
42858714.0439932,-86.7302474975586,,,
42859560.0676819,-86.8740997314453,,,
42860406.0913706,-86.2519607543945,,,
42861252.1150592,-85.7754821777344,,,
42862098.1387479,-86.0588302612305,,,
42862944.1624365,-86.5005722045898,,,
42863790.1861252,-85.3548889160156,,,
42864636.2098139,-85.5405120849609,,,
42865482.2335025,-85.4994506835938,,,
42866328.2571912,-85.7546844482422,,,
42867174.2808799,-85.4179534912109,,,
42868020.3045685,-86.062858581543,,,
42868866.3282572,-86.1402435302734,,,
42869712.3519459,-86.4303817749023,,,
42870558.3756345,-87.3321914672852,,,
42871404.3993232,-86.106819152832,,,
42872250.4230118,-86.5818862915039,,,
42873096.4467005,-87.0724334716797,,,
42873942.4703892,-86.8835830688477,,,
42874788.4940778,-87.8396453857422,,,
42875634.5177665,-87.2129592895508,,,
42876480.5414552,-86.1359710693359,,,
42877326.5651438,-85.7619171142578,,,
42878172.5888325,-86.3980712890625,,,
42879018.6125211,-86.9984436035156,,,
42879864.6362098,-84.9842300415039,,,
42880710.6598985,-85.7602767944336,,,
42881556.6835871,-86.3021545410156,,,
42882402.7072758,-85.4363784790039,,,
42883248.7309645,-84.406982421875,,,
42884094.7546531,-84.3603134155273,,,
42884940.7783418,-86.6486358642578,,,
42885786.8020305,-86.9098434448242,,,
42886632.8257191,-86.5112457275391,,,
42887478.8494078,-87.3620758056641,,,
42888324.8730964,-86.2472457885742,,,
42889170.8967851,-86.4049530029297,,,
42890016.9204738,-87.1273956298828,,,
42890862.9441624,-85.8549652099609,,,
42891708.9678511,-85.7833862304688,,,
42892554.9915398,-86.6277236938477,,,
42893401.0152284,-86.0131149291992,,,
42894247.0389171,-85.8858947753906,,,
42895093.0626058,-87.1984024047852,,,
42895939.0862944,-87.0910415649414,,,
42896785.1099831,-86.626579284668,,,
42897631.1336717,-86.7135620117188,,,
42898477.1573604,-88.9651565551758,,,
42899323.1810491,-89.5282363891602,,,
42900169.2047377,-87.5375595092773,,,
42901015.2284264,-87.9064483642578,,,
42901861.2521151,-87.3721771240234,,,
42902707.2758037,-87.6306762695313,,,
42903553.2994924,-86.7764053344727,,,
42904399.323181,-86.7336044311523,,,
42905245.3468697,-86.5399017333984,,,
42906091.3705584,-85.71435546875,,,
42906937.394247,-86.4765167236328,,,
42907783.4179357,-87.2032012939453,,,
42908629.4416244,-86.1230316162109,,,
42909475.465313,-85.8704681396484,,,
42910321.4890017,-86.2470016479492,,,
42911167.5126904,-87.0211334228516,,,
42912013.536379,-86.9160308837891,,,
42912859.5600677,-86.1015853881836,,,
42913705.5837563,-86.6786956787109,,,
42914551.607445,-86.0806884765625,,,
42915397.6311337,-86.7563400268555,,,
42916243.6548223,-87.4426040649414,,,
42917089.678511,-86.1190948486328,,,
42917935.7021997,-86.5079498291016,,,
42918781.7258883,-85.6884078979492,,,
42919627.749577,-85.8569946289063,,,
42920473.7732657,-86.2173461914063,,,
42921319.7969543,-85.9893035888672,,,
42922165.820643,-86.3976211547852,,,
42923011.8443316,-86.5814514160156,,,
42923857.8680203,-86.9513931274414,,,
42924703.891709,-87.6160049438477,,,
42925549.9153976,-88.6395950317383,,,
42926395.9390863,-88.1665802001953,,,
42927241.962775,-87.0583114624023,,,
42928087.9864636,-86.8313140869141,,,
42928934.0101523,-87.3541412353516,,,
42929780.0338409,-87.1071624755859,,,
42930626.0575296,-86.1290588378906,,,
42931472.0812183,-87.0902252197266,,,
42932318.1049069,-87.7307281494141,,,
42933164.1285956,-88.7166519165039,,,
42934010.1522843,-88.1022033691406,,,
42934856.1759729,-87.2125244140625,,,
42935702.1996616,-86.7462768554688,,,
42936548.2233503,-87.0442810058594,,,
42937394.2470389,-87.0998687744141,,,
42938240.2707276,-87.1644134521484,,,
42939086.2944162,-86.3478469848633,,,
42939932.3181049,-85.9135589599609,,,
42940778.3417936,-86.2944259643555,,,
42941624.3654822,-86.1979827880859,,,
42942470.3891709,-86.5062255859375,,,
42943316.4128596,-86.8390960693359,,,
42944162.4365482,-86.7242889404297,,,
42945008.4602369,-87.6104965209961,,,
42945854.4839256,-87.8185348510742,,,
42946700.5076142,-86.3388519287109,,,
42947546.5313029,-86.6635284423828,,,
42948392.5549915,-87.7490692138672,,,
42949238.5786802,-87.0502624511719,,,
42950084.6023689,-86.3675689697266,,,
42950930.6260575,-86.3177032470703,,,
42951776.6497462,-87.0352172851563,,,
42952622.6734349,-86.4941482543945,,,
42953468.6971235,-85.3708648681641,,,
42954314.7208122,-85.9806060791016,,,
42955160.7445008,-87.2293930053711,,,
42956006.7681895,-87.4053955078125,,,
42956852.7918782,-86.3102874755859,,,
42957698.8155668,-85.4424896240234,,,
42958544.8392555,-86.5353240966797,,,
42959390.8629442,-87.5542449951172,,,
42960236.8866328,-87.0293731689453,,,
42961082.9103215,-87.6749496459961,,,
42961928.9340102,-87.3315734863281,,,
42962774.9576988,-86.4141387939453,,,
42963620.9813875,-86.5242309570313,,,
42964467.0050761,-86.3128509521484,,,
42965313.0287648,-87.1481323242188,,,
42966159.0524535,-87.4744110107422,,,
42967005.0761421,-86.5860977172852,,,
42967851.0998308,-86.5111541748047,,,
42968697.1235195,-86.5486755371094,,,
42969543.1472081,-85.8208770751953,,,
42970389.1708968,-85.4408721923828,,,
42971235.1945855,-86.2659454345703,,,
42972081.2182741,-87.0383453369141,,,
42972927.2419628,-86.9496612548828,,,
42973773.2656514,-87.4590225219727,,,
42974619.2893401,-87.6966400146484,,,
42975465.3130288,-87.8714141845703,,,
42976311.3367174,-87.6348419189453,,,
42977157.3604061,-86.473258972168,,,
42978003.3840948,-86.4704437255859,,,
42978849.4077834,-85.7812957763672,,,
42979695.4314721,-86.0759124755859,,,
42980541.4551607,-86.6433715820313,,,
42981387.4788494,-86.1553802490234,,,
42982233.5025381,-86.0206985473633,,,
42983079.5262267,-86.9327011108398,,,
42983925.5499154,-85.5730438232422,,,
42984771.5736041,-84.8191146850586,,,
42985617.5972927,-86.2268600463867,,,
42986463.6209814,-87.0125579833984,,,
42987309.6446701,-87.1252365112305,,,
42988155.6683587,-86.4523010253906,,,
42989001.6920474,-87.1031799316406,,,
42989847.715736,-87.7857131958008,,,
42990693.7394247,-87.5167999267578,,,
42991539.7631134,-86.7966537475586,,,
42992385.786802,-86.0828399658203,,,
42993231.8104907,-87.2621688842773,,,
42994077.8341794,-87.7732391357422,,,
42994923.857868,-86.4569931030273,,,
42995769.8815567,-86.9907608032227,,,
42996615.9052453,-87.8585739135742,,,
42997461.928934,-86.7652359008789,,,
42998307.9526227,-85.7225112915039,,,
42999153.9763113,-85.7324142456055,,,
43000000,-85.7623291015625,,,
43000846.0236887,-86.2391510009766,,,
43001692.0473773,-86.6918792724609,,,
43002538.071066,-86.1487426757813,,,
