Freq.	V(n016)
1.79005014185596e+05	(7.14959010926117e+01dB,1.93405550777973e+00°)
1.80250092522167e+05	(7.15028571450553e+01dB,1.90451878341959e+00°)
1.81503831063433e+05	(7.15099152422251e+01dB,1.87504090516877e+00°)
1.82766290045881e+05	(7.15170772421068e+01dB,1.84561975451704e+00°)
1.84037530124976e+05	(7.15243450387999e+01dB,1.81625319487036e+00°)
1.85317612378075e+05	(7.15317205634280e+01dB,1.78693907084841e+00°)
1.86606598307363e+05	(7.15392057850659e+01dB,1.75767520750507e+00°)
1.87904549842804e+05	(7.15468027117095e+01dB,1.72845940960990e+00°)
1.89211529345120e+05	(7.15545133912614e+01dB,1.69928946083256e+00°)
1.90527599608789e+05	(7.15623399125534e+01dB,1.67016312293223e+00°)
1.91852823865054e+05	(7.15702844063967e+01dB,1.64107813490790e+00°)
1.93187265784970e+05	(7.15783490466636e+01dB,1.61203221211977e+00°)
1.94530989482458e+05	(7.15865360514054e+01dB,1.58302304538517e+00°)
1.95884059517387e+05	(7.15948476840085e+01dB,1.55404830009128e+00°)
1.97246540898673e+05	(7.16032862543689e+01dB,1.52510561514016e+00°)
1.98618499087409e+05	(7.16118541201275e+01dB,1.49619260202858e+00°)
2.00000000000001e+05	(7.16205536879235e+01dB,1.46730684376216e+00°)
2.01391110011345e+05	(7.16293874147049e+01dB,1.43844589381887e+00°)
2.02791895958007e+05	(7.16383578090605e+01dB,1.40960727500152e+00°)
2.04202425141440e+05	(7.16474674326154e+01dB,1.38078847831363e+00°)
2.05622765331215e+05	(7.16567189014590e+01dB,1.35198696176431e+00°)
2.07052984768277e+05	(7.16661148876173e+01dB,1.32320014911146e+00°)
2.08493152168226e+05	(7.16756581205868e+01dB,1.29442542861768e+00°)
2.09943336724615e+05	(7.16853513889028e+01dB,1.26566015169018e+00°)
2.11403608112278e+05	(7.16951975417683e+01dB,1.23690163151002e+00°)
2.12874036490674e+05	(7.17051994907371e+01dB,1.20814714162178e+00°)
2.14354692507260e+05	(7.17153602114467e+01dB,1.17939391441046e+00°)
2.15845647300887e+05	(7.17256827454216e+01dB,1.15063913961472e+00°)
2.17346972505213e+05	(7.17361702019202e+01dB,1.12187996267824e+00°)
2.18858740252150e+05	(7.17468257598630e+01dB,1.09311348311741e+00°)
2.20381023175324e+05	(7.17576526698141e+01dB,1.06433675279949e+00°)
2.21913894413571e+05	(7.17686542560355e+01dB,1.03554677412187e+00°)
2.23457427614446e+05	(7.17798339186152e+01dB,1.00674049818868e+00°)
2.25011696937764e+05	(7.17911951356618e+01dB,9.77914822827498e-01°)
2.26576777059162e+05	(7.18027414655882e+01dB,9.49066590620930e-01°)
2.28152743173687e+05	(7.18144765494650e+01dB,9.20192586776676e-01°)
2.29739670999409e+05	(7.18264041134666e+01dB,8.91289536973893e-01°)
2.31337636781059e+05	(7.18385279713934e+01dB,8.62354105051982e-01°)
2.32946717293693e+05	(7.18508520273030e+01dB,8.33382890698821e-01°)
2.34566989846378e+05	(7.18633802782188e+01dB,8.04372426940657e-01°)
2.36198532285908e+05	(7.18761168169521e+01dB,7.75319177626695e-01°)
2.37841423000546e+05	(7.18890658350124e+01dB,7.46219534677272e-01°)
2.39495740923788e+05	(7.19022316256533e+01dB,7.17069815409059e-01°)
2.41161565538154e+05	(7.19156185869935e+01dB,6.87866259517927e-01°)
2.42838976879012e+05	(7.19292312252904e+01dB,6.58605026103802e-01°)
2.44528055538416e+05	(7.19430741583198e+01dB,6.29282190503433e-01°)
2.46228882668985e+05	(7.19571521188923e+01dB,5.99893740992046e-01°)
2.47941539987800e+05	(7.19714699584902e+01dB,5.70435575289237e-01°)
2.49666109780325e+05	(7.19860326510738e+01dB,5.40903497029143e-01°)
2.51402674904368e+05	(7.20008452970011e+01dB,5.11293211925038e-01°)
2.53151318794058e+05	(7.20159131271351e+01dB,4.81600323899187e-01°)
2.54912125463855e+05	(7.20312415070828e+01dB,4.51820330899534e-01°)
2.56685179512583e+05	(7.20468359416343e+01dB,4.21948620677419e-01°)
2.58470566127501e+05	(7.20627020793449e+01dB,3.91980466190289e-01°)
2.60268371088389e+05	(7.20788457173467e+01dB,3.61911021006121e-01°)
2.62078680771675e+05	(7.20952728063054e+01dB,3.31735314243226e-01°)
2.63901582154581e+05	(7.21119894556223e+01dB,3.01448245484768e-01°)
2.65737162819305e+05	(7.21290019388346e+01dB,2.71044579341283e-01°)
2.67585510957225e+05	(7.21463166992381e+01dB,2.40518939764871e-01°)
2.69446715373141e+05	(7.21639403557527e+01dB,2.09865804096329e-01°)
2.71320865489537e+05	(7.21818797090309e+01dB,1.79079496811455e-01°)
2.73208051350882e+05	(7.22001417478398e+01dB,1.48154183010632e-01°)
2.75108363627951e+05	(7.22187336556909e+01dB,1.17083861449658e-01°)
2.77021893622188e+05	(7.22376628177899e+01dB,8.58623573956589e-02°)
2.78948733270084e+05	(7.22569368282620e+01dB,5.44833149607614e-02°)
2.80888975147602e+05	(7.22765634977160e+01dB,2.29401891598679e-02°)
2.82842712474622e+05	(7.22965508611371e+01dB,-8.77376248338300e-03°)
2.84810039119417e+05	(7.23169071861209e+01dB,-4.06654888203319e-02°)
2.86791049603169e+05	(7.23376409814976e+01dB,-7.27421543537716e-02°)
2.88785839104502e+05	(7.23587610063459e+01dB,-1.05011149011722e-01°)
2.90794503464065e+05	(7.23802762794024e+01dB,-1.37480098506855e-01°)
2.92817139189128e+05	(7.24021960889296e+01dB,-1.70156875201222e-01°)
2.94853843458223e+05	(7.24245300030329e+01dB,-2.03049609556971e-01°)
2.96904714125813e+05	(7.24472878804600e+01dB,-2.36166702278572e-01°)
2.98969849726991e+05	(7.24704798819247e+01dB,-2.69516837043482e-01°)
3.01049349482217e+05	(7.24941164819581e+01dB,-3.03108994043598e-01°)
3.03143313302083e+05	(7.25182084813464e+01dB,-3.36952464195973e-01°)
3.05251841792115e+05	(7.25427670201667e+01dB,-3.71056864232218e-01°)
3.07375036257606e+05	(7.25678035914627e+01dB,-4.05432152653005e-01°)
3.09512998708482e+05	(7.25933300556162e+01dB,-4.40088646540059e-01°)
3.11665831864204e+05	(7.26193586554030e+01dB,-4.75037039493487e-01°)
